Université;Nom Faculte;Site Web
Universités privées;Institut supérieur des sciences infirmières de Sousse (ISIS);
Universités privées;Institut supérieur privé des sciences infirmières Étoile de formation;
Universités privées;Université privée de Sousse;
Universités privées;Université privée des sciences, arts et techniques de Sousse;
Universités privées;École polytechnique internationale privée de Tunis (Polytech Intl);
Universités privées;École privée de technologies de l'information et de management de l'entreprise (Time Université);
Universités privées;École supérieure d'audiovisuel et de design;
Universités privées;École supérieure des sciences appliquées et de management (SESAME);https://universitesesame.com/
Universités privées;École supérieure privée d'administration des affaires et de droit ;
Universités privées;École supérieure privée d'administration et de management;
Universités privées;École supérieure privée d'ingénierie et de technologie (Esprit);https://esprit.tn/
Universités privées;Institut des hautes études à Tunis;
Universités privées;iTeam University;
Universités privées;Law and Business School;
Universités privées;Mediterranean School of Business;
Universités privées;Université arabe des sciences;
Universités privées;Université centrale;
Universités privées;Université de technologie et de management (SUPTECH)3;
Universités privées;Université Ibn Khaldoun;
Universités privées;Université internationale de santé;
Universités privées;Université internationale de Tunis;
Universités privées;Université libre de Tunis;
Universités privées;Université Paris-Dauphine Tunis;
Universités privées;Université Mahmoud El Materi;
Universités privées;Université Montplaisir Tunis;
Universités privées;Université privée d'enseignement supérieur El Amel;
Universités privées;Université privée de l'aéronautique et des technologies;
Universités privées;Université privée de technologie;
Universités privées;Université privée des arts et du design;
Universités privées;Université privée des sciences, arts et techniques de Tunis;
Universités privées;Université privée Tunis Carthage;
